,leo_open,leo_volume,leo_burn_amount,burn_amount_usd,btc_open,btc_volume,btc_usd_volume,burn_amount_usd_EMA,btc_usd_volume_EMA,m2dates,corr,corr_smoothed
2019-06-01 00:00:00,1.496,16449.55947134,,,8533.11384961,887.28005286,7571261.707542358,,14486130.39429141,737211.0,,
2019-06-01 03:00:00,1.4909999999999999,105356.96737741,,,8517.0,746.07174533,6354293.05497561,,14167234.812357457,737211.125,,
2019-06-01 06:00:00,1.4654,27344.07920616,,,8468.94667897,512.71978676,4342196.535323309,,13781939.193650236,737211.25,,
2019-06-01 09:00:00,1.4695,108458.04526837,,,8556.9,686.74391974,5876399.046823206,,13471918.011421725,737211.375,,
2019-06-01 12:00:00,1.4802,100387.67273465,,,8561.1,957.97559259,8201324.84572225,,13265228.083355078,737211.5,,
2019-06-01 15:00:00,1.4784,79433.35764892,,,8487.9,582.53066598,4944462.039771642,,12938923.532626316,737211.625,,
2019-06-01 18:00:00,1.4334,10512.97916552,,,8521.0,374.05553704,3187327.23111784,,12556507.99139069,737211.75,,
2019-06-01 21:00:00,1.4299,48960.69147109,,,8536.0,709.93718262,6060023.79084432,,12301743.905094754,737211.875,,
2019-06-02 00:00:00,1.4164,18250.76379541,,,8546.9,338.72812133,2895075.380195377,,11932854.943333995,737212.0,,
2019-06-02 03:00:00,1.4203,56022.01041488,,,8558.2,242.17601217,2072590.7473532942,,11546177.916040633,737212.125,,
2019-06-02 06:00:00,1.4239,182236.4120554,,,8578.9865286,1470.16906358,12612560.591217298,,11587996.844478933,737212.25,,
2019-06-02 09:00:00,1.4759,82543.12767274,,,8727.3,767.66371554,6699631.544632241,,11396296.244484946,737212.375,,
2019-06-02 12:00:00,1.4401,28202.78318294,,,8733.79761794,2038.50328101,17803875.09984801,,11647573.846656047,737212.5,,
2019-06-02 15:00:00,1.4326,78049.93290177001,,,8708.6,475.6398921,4142157.56434206,,11353243.796369223,737212.625,,
2019-06-02 18:00:00,1.4227,26965.61768456,,,8661.8,370.9890361,3213432.83289098,,11034035.523291646,737212.75,,
2019-06-02 21:00:00,1.4128,92322.77382035,,,8686.0,539.38351763,4685085.2341341805,,10785057.080579588,737212.875,,
2019-06-03 00:00:00,1.4217,85576.92899345,,,8740.0,589.83140992,5155126.522700801,,10564275.490074538,737213.0,,
2019-06-03 03:00:00,1.4349,16301.03698063,,,8673.4,653.18397192,5665325.862050927,,10372159.818387337,737213.125,,
2019-06-03 06:00:00,1.4191,20824.02519798,,,8589.0,3360.83813692,28866238.75800588,,11097417.816019436,737213.25,,
2019-06-03 09:00:00,1.425,8250.95707253,,,8468.0,1696.97596183,14369992.44477644,,11225754.07597069,737213.375,,
